#curie_map:
#  EFO: http://www.ebi.ac.uk/efo/EFO_
#  HP: http://purl.obolibrary.org/obo/HP_
#  MP: http://purl.obolibrary.org/obo/MP_
#  NCBITaxon: http://purl.obolibrary.org/obo/NCBITaxon_
#  NCIT: http://purl.obolibrary.org/obo/NCIT_
#  ORPHA: http://www.orpha.net/ORDO/Orphanet_
#mapping_set_id: https://raw.githubusercontent.com/mapping-commons/ebi-text-mappings/main/mappings/ukbiobank.sssom.tsv
#mapping_set_description: UK Biobank phenotype mappings to EFO
#subject_type: rdfs literal
#subject_source: https://github.com/EBISPOT/EFO-UKB-mappings
subject_label	subject_category	predicate_id	object_id	mapping_justification	author_label	mapping_date
Aspergillosis	disease	skos:closeMatch	EFO:0007157	semapv:ManualMappingCuration	efo	2019-04-26
Asthma	disease	skos:closeMatch	EFO:0000270	semapv:ManualMappingCuration	efo	2019-04-26
Atherosclerosis	disease	skos:closeMatch	EFO:0003914	semapv:ManualMappingCuration	efo	2019-04-26
Atopic dermatitis	disease	skos:closeMatch	EFO:0000274	semapv:ManualMappingCuration	efo	2019-04-26
Atrial fibrillation and flutter	disease	skos:closeMatch	EFO:0000275	semapv:ManualMappingCuration	efo	2019-04-26
Atrioventricular and left bundle-branch block	disease	skos:closeMatch	EFO:0004138	semapv:ManualMappingCuration	efo	2019-04-26
Atrophic disorders of skin	disease	skos:closeMatch	EFO:1000766	semapv:ManualMappingCuration	efo	2019-04-26
Attention to artificial openings	factor	skos:closeMatch	EFO:0009786	semapv:ManualMappingCuration	efo	2019-04-26
Atypical virus infections of CNS	disease	skos:closeMatch	EFO:1001456	semapv:ManualMappingCuration	efo	2019-04-26
Back pain for 3+ months	phenotype	skos:closeMatch	HP:0003418	semapv:ManualMappingCuration	efo	2019-04-26
Bacterial meningitis	disease	skos:closeMatch	EFO:1000831	semapv:ManualMappingCuration	efo	2019-04-26
Basal metabolic rate	measurement	skos:closeMatch	EFO:0007777	semapv:ManualMappingCuration	efo	2019-04-26
Benign lipomatous neoplasm	disease	skos:closeMatch	EFO:0000759	semapv:ManualMappingCuration	efo	2019-04-26
Benign mammary dysplasia	disease	skos:closeMatch	EFO:0003014	semapv:ManualMappingCuration	efo	2019-04-26
Benign neoplasm of bone and articular cartilage	disease	skos:closeMatch	EFO:0003820	semapv:ManualMappingCuration	efo	2019-04-26
Benign neoplasm of brain and other parts of central nervous system	disease	skos:closeMatch	EFO:1000107	semapv:ManualMappingCuration	efo	2019-04-26
Benign neoplasm of breast	disease	skos:closeMatch	EFO:0003869	semapv:ManualMappingCuration	efo	2019-04-26
Benign neoplasm of major salivary glands	disease	skos:closeMatch	EFO:0003826	semapv:ManualMappingCuration	efo	2019-04-26
Benign neoplasm of meninges	disease	skos:closeMatch	EFO:1000107	semapv:ManualMappingCuration	efo	2019-04-26
Benign neoplasm of middle ear and respiratory system	disease	skos:closeMatch	EFO:0003853	semapv:ManualMappingCuration	efo	2019-04-26
Benign neoplasm of mouth and pharynx	disease	skos:closeMatch	EFO:0003868	semapv:ManualMappingCuration	efo	2019-04-26
Benign neoplasm of other and ill-defined parts of digestive system	disease	skos:closeMatch	EFO:0008549	semapv:ManualMappingCuration	efo	2019-04-26
Benign neoplasm of other and unspecified endocrine glands	disease	skos:closeMatch	EFO:0003769	semapv:ManualMappingCuration	efo	2019-04-26
Benign neoplasm of other and unspecified female genital organs	disease	skos:closeMatch	EFO:1001331	semapv:ManualMappingCuration	efo	2019-04-26
Benign neoplasm of other and unspecified sites	disease	skos:closeMatch	EFO:0002422	semapv:ManualMappingCuration	efo	2019-04-26
Benign neoplasm of ovary	disease	skos:closeMatch	EFO:1000116	semapv:ManualMappingCuration	efo	2019-04-26
Benign neoplasm of thyroid gland	disease	skos:closeMatch	EFO:1000122	semapv:ManualMappingCuration	efo	2019-04-26
Benign neoplasm of urinary organs	disease	skos:closeMatch	EFO:0003863	semapv:ManualMappingCuration	efo	2019-04-26
Bilateral oophorectomy (both ovaries removed)	experimental factor	skos:closeMatch	EFO:0009717	semapv:ManualMappingCuration	efo	2019-04-26
Bipolar affective disorder	disease	skos:closeMatch	EFO:0000289	semapv:ManualMappingCuration	efo	2019-04-26
Bipolar disorder status	disease	skos:closeMatch	EFO:0000289	semapv:ManualMappingCuration	efo	2019-04-26
Birth weight	measurement	skos:closeMatch	EFO:0004344	semapv:ManualMappingCuration	efo	2019-04-26
Birth weight of first child	measurement	skos:closeMatch	EFO:0004344	semapv:ManualMappingCuration	efo	2019-04-26
Body fat percentage	measurement	skos:closeMatch	EFO:0007800	semapv:ManualMappingCuration	efo	2019-04-26
Body mass index (BMI)	measurement	skos:closeMatch	EFO:0004340	semapv:ManualMappingCuration	efo	2019-04-26
Bring up phlegm/sputum/mucus on most days	quality	skos:closeMatch	EFO:0009824	semapv:ManualMappingCuration	efo	2019-04-26
Bronchiectasis	phenotype	skos:closeMatch	HP:0002110	semapv:ManualMappingCuration	efo	2019-04-26
