#curie_map:
#  BTO: http://purl.obolibrary.org/obo/BTO_
#  CL: http://purl.obolibrary.org/obo/CL_
#  CLO: http://purl.obolibrary.org/obo/CLO_
#  EFO: http://www.ebi.ac.uk/efo/EFO_
#  EO: http://purl.obolibrary.org/obo/EO_
#  FMA: http://purl.obolibrary.org/obo/FMA_
#  GO: http://purl.obolibrary.org/obo/GO_
#  MONDO: http://purl.obolibrary.org/obo/MONDO_
#  NCBITaxon: http://purl.obolibrary.org/obo/NCBITaxon_
#  NCIT: http://purl.obolibrary.org/obo/NCIT_
#  OBI: http://purl.obolibrary.org/obo/OBI_
#  OMIT: http://purl.obolibrary.org/obo/OMIT_
#  PATO: http://purl.obolibrary.org/obo/PATO_
#  PO: http://purl.obolibrary.org/obo/PO_
#  UBERON: http://purl.obolibrary.org/obo/UBERON_
#  UO: http://purl.obolibrary.org/obo/UO_
#  lbo: http://purl.obolibrary.org/obo/LBO_
#mapping_set_id: https://raw.githubusercontent.com/mapping-commons/ebi-text-mappings/main/mappings/faang.sssom.tsv
#mapping_set_description: FAANG project curated mappings
#subject_type: rdfs literal
#subject_source: https://www.ebi.ac.uk/vg/faang
subject_label	subject_category	predicate_id	object_id	mapping_justification
Parietal Cortex	organismPart, cellType	skos:closeMatch	UBERON:0016530	semapv:ManualMappingCuration
Pectoral muscle	organismPart, cellType	skos:closeMatch	UBERON:0001495	semapv:ManualMappingCuration
Peripheral blood	organismPart, cellType	skos:closeMatch	UBERON:0000178	semapv:ManualMappingCuration
Peripheral blood leukocytes	organismPart, cellType	skos:closeMatch	CL:0000738	semapv:ManualMappingCuration
Peripheral blood mononuclear cells	organismPart, cellType	skos:closeMatch	CL:2000001	semapv:ManualMappingCuration
Peyer patches	organismPart, cellType	skos:closeMatch	UBERON:0001211	semapv:ManualMappingCuration
Peyer's gland	organismPart, cellType	skos:closeMatch	BTO:0001784	semapv:ManualMappingCuration
Peyer's patch	organismPart, cellType	skos:closeMatch	UBERON:0001211	semapv:ManualMappingCuration
Pharyngula	developmentalStage	skos:closeMatch	UBERON:0004707	semapv:ManualMappingCuration
Pharyngula (otocyst) stage	developmentalStage	skos:closeMatch	UBERON:0004707	semapv:ManualMappingCuration
Pharyngula stage	developmentalStage	skos:closeMatch	UBERON:0004707	semapv:ManualMappingCuration
Pharyngula stage (Prehatching)	developmentalStage	skos:closeMatch	UBERON:0004707	semapv:ManualMappingCuration
Pietrain	breed	skos:closeMatch	lbo:0000395	semapv:ManualMappingCuration
Pig crossbreed	breed	skos:closeMatch	lbo:0001040	semapv:ManualMappingCuration
Pineal Gland	organismPart, cellType	skos:closeMatch	UBERON:0001905	semapv:ManualMappingCuration
